url,nom,prix,duree,taux_rentabilite,status
https://app.bricks.co/properties/129fb9bc-c5cc-4745-a3a6-da90ecf0b7c3,Hôtels Saint Witz,2313000,3 ans,"12,00 % /an",Financé
https://app.bricks.co/properties/58d6fc26-3bd0-43cc-82da-5c9216df8dcb,Appartements Paris 13ᵉ,957000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/2be01104-a5d5-40c9-8a49-03bb45ec9613,Appartements Jego,1236000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/40e127e8-aa87-4bfe-8091-d76f45ddec00,Manoir Trouville-sur-Mer,2370000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/20920997-976f-4fdd-a2a8-4c5e889ee49c,Domaine de Quétieville,1072000,4 ans,"8,00 % /an",Financé
https://app.bricks.co/properties/d14c0f3f-cf06-4659-bded-8e2bcdcd2f7b,Appartement Triangle d'Or,1060000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/ddfd88f4-2fb1-4846-92e7-41adc57d3523,Appartement Joaquim Casimiro,1015000,1 an,"9,00 % /an",Financé
https://app.bricks.co/properties/94ca1558-fb09-4136-a894-3582bae45453,Hôtel Bordeaux Lormont,1300000,4 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/16153b38-305f-4e4b-b537-fa63f1532c5a,Appartement Cabo Verde,583000,1 an,"9,00 % /an",Financé
https://app.bricks.co/properties/a945bc73-4de2-4261-89ba-ae0148948c65,Appartement Adrien Lesesne,241000,5 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/aae6494c-4a7b-48c6-8077-6c62f303cef2,L'indomptable - Château de Fontenay,690000,5 ans,"7,00 % /an",Financé
https://app.bricks.co/properties/22e976c6-0233-4553-ac00-4b698d7422b9,Supernova II - Lot de 2 appartements,464000,1 an et 6 mois,"9,00 % /an",Remboursé
https://app.bricks.co/properties/bb0fe37b-f552-4c46-99e3-fb2bb26fcda9,Appartement Escourche,272000,10 ans,"7,50 % /an",Financé
https://app.bricks.co/properties/42855f27-77ac-41da-b9a1-25862b3045f4,Lot de 2 Appartements Charles de Gaulle,190000,5 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/f3917402-3de2-4ad6-8892-68042c61b2ea,Villa Hauts Briauches,950000,10 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/2bd294ef-3db5-430d-8a83-e05930247656,Supernova - 2 Appartements,373000,2 ans,"9,00 % /an",Remboursé
https://app.bricks.co/properties/6ba911e1-69e8-4a30-a8ea-745046b1d347,Château Saint Laurent,1000000,4 ans,"7,00 % /an",Financé
https://app.bricks.co/properties/54f96e9a-0b30-4d83-a824-d5a14537c9cc,Houseboat Port Ilon,237000,10 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/b1bc0efd-1f32-4b38-abe6-9567ce9fef23,Appartement Paris 2ᵉ,573000,4 ans,"6,75 % /an",Financé
https://app.bricks.co/properties/ba29910c-9713-48ae-b8e5-9741949241ef,Appartement Voltaire,170200,10 ans,"7,50 % /an",Financé
https://app.bricks.co/properties/a5a02ed9-8c7b-4456-84be-e78422366e4a,Les Cabanes Parisiennes,1100000,10 ans,"7,00 % /an",Financé
https://app.bricks.co/properties/dbd3c72d-cf1f-4b8f-888a-516c78a7f186,Appartement des 2 églises,294000,4 ans,"7,00 % /an",Financé
https://app.bricks.co/properties/098459d0-33fb-4bcc-963d-2197f27973f4,Appartement Almirante Reis,789800,10 ans,"7,00 % /an",Financé
https://app.bricks.co/properties/1e5382bf-95ff-4193-9d05-492abc44b15b,Appartement Monsaraz,406670,10 ans,"7,00 % /an",Financé
https://app.bricks.co/properties/e1d1b68d-4042-43dc-b193-44c150c9c6cc,Immeuble Bonfim,1344340,10 ans,"12,44 % /an","12,44 % /an"
https://app.bricks.co/properties/99562589-08fc-4f04-ab66-3c7d9192454b,Immeuble Fervença,732650,10 ans,"12,29 % /an","12,29 % /an"
https://app.bricks.co/properties/7341badb-4f89-4020-b0f7-4a006f172552,Immeuble Général de Gaulle,1543000,10 ans,"8,53 % /an","8,53 % /an"
https://app.bricks.co/properties/38f37f83-7c9e-4eaf-b2c2-6c8e3b51762e,Immeuble La Fabrik,1540730,10 ans,"12,20 % /an","12,20 % /an"
https://app.bricks.co/properties/2d1d5f64-766e-4cb8-b26c-c7ca7384adc1,Immeuble Jean Jaurès Lomme,817600,10 ans,"8,30 % /an","8,30 % /an"
https://app.bricks.co/properties/8418893f-c5a7-491a-83b4-a6a3b1980565,Immeuble Général Strolz,4084600,10 ans,"8,00 % /an","8,00 % /an"
https://app.bricks.co/properties/10c5e99f-6832-4c9f-847e-52d88870242d,Immeuble Docteur Jenner,817600,10 ans,"8,71 % /an","8,71 % /an"
https://app.bricks.co/properties/f5b16bdc-971f-40c8-80fb-0eadfd272931,Commerce Chaptal,958700,10 ans,"7,72 % /an","7,72 % /an"
https://app.bricks.co/properties/70e9bf2c-6e36-4ce2-bbf6-59e666658e9b,Immeuble Faria Guimarães,1473930,10 ans,"12,09 % /an","12,09 % /an"
https://app.bricks.co/properties/b322b7b8-562b-453a-81df-70a46e42f4fa,Commerce Diepholz,2218080,10 ans,"7,05 % /an","7,05 % /an"
https://app.bricks.co/properties/80b2efc8-37ef-4c7a-8a6f-937ea9b3e766,Immeuble Dom Manuel II,1864150,10 ans,"12,51 % /an","12,51 % /an"
